taskA,2022-04-01,0,0
taskB,2022-04-02,1,0
taskC,2022-04-03,2,0
taskD,2022-04-04,0,2
taskE,2022-04-05,1,1
taskF,2022-04-06,2,0
taskG,2022-04-07,0,2
taskH,2022-06-08,1,0
taskI,2022-05-09,2,2
taskJ,2022-12-10,0,2
taskK,2023-01-10,1,1
taskL,2023-05-10,2,1
taskM,2022-06-10,0,0
taskN,2022-07-10,1,2
taskO,2022-04-15,2,2
taskP,2022-04-16,0,1
taskQ,2022-04-17,1,1
taskR,2022-04-18,0,1
taskS,2022-04-19,1,2
taskT,2022-04-20,2,0
taskU,2022-04-21,0,1
taskV,2022-04-22,1,2
taskW,2022-04-23,2,2